CHR	START	END	LENGTH	POS	geneIDs	gene.products	gene.GO.terms	iHS.PF	iHS.PF.FDR	iHS.L	iHS.L.FDR	iHS.OT	iHS.OT.FDR	iHS.V	iHS.V.FDR	iHS.NR	iHS.NR.FDR	xpEHH.OT_NR	xpEHH.OT_NR.FDR	xpEHH.OT_PF	xpEHH.OT_PF.FDR	xpEHH.OT_V	xpEHH.OT_V.FDR	xpEHH.OT_L	xpEHH.OT_L.FDR	xpEHH.NR_PF	xpEHH.NR_PF.FDR	xpEHH.NR_V	xpEHH.NR_V.FDR	xpEHH.NR_L	xpEHH.NR_L.FDR	xpEHH.PF_V	xpEHH.PF_V.FDR	xpEHH.PF_L	xpEHH.PF_L.FDR	xpEHH.V_L	xpEHH.V_L.FDR	Rsb.OT_NR	Rsb.OT_NR.FDR	Rsb.OT_PF	Rsb.OT_PF.FDR	Rsb.OT_V	Rsb.OT_V.FDR	Rsb.OT_L	Rsb.OT_L.FDR	Rsb.NR_PF	Rsb.NR_PF.FDR	Rsb.NR_V	Rsb.NR_V.FDR	Rsb.NR_L	Rsb.NR_L.FDR	Rsb.PF_V	Rsb.PF_V.FDR	Rsb.PF_L	Rsb.PF_L.FDR	Rsb.V_L	Rsb.V_L.FDR	is.cr.btwn.FDR.xpEHH	is.cr.wthn.FDR.xpEHH	is.cr.btwn.noFDR.xpEHH	is.cr.wthn.noFDR.xpEHH	is.cr.btwn.FDR.Rsb	is.cr.wthn.FDR.Rsb	is.cr.btwn.noFDR.Rsb	is.cr.wthn.noFDR.Rsb	is.soc.cr.FDR.xpEHH	is.soc.cr.noFDR.xpEHH	is.soc.cr.FDR.Rsb	is.soc.cr.noFDR.Rsb
62952	4150000	4200000	6783701	62952-4150000:4200000	g1877:g1877:g1878:g1879:g1880:g1881:g1881:g1882	Phosphatidylinositol 4-kinase alpha:Phosphatidylinositol 4-kinase alpha:Uncharacterized protein:A0A151XA97 Phosphoglycerate kinase OS=Trachymyrmex zeteki OX=64791 GN=ALC60_03814 PE=3 SV=1:Uncharacterized protein:Choline/ethanolamine kinase:Uncharacterized protein:Uncharacterized protein	GO:0016301 - kinase activity|GO:0046854 - phosphatidylinositol phosphorylation|GO:0048015 - phosphatidylinositol-mediated signaling:GO:0016301 - kinase activity|GO:0046854 - phosphatidylinositol phosphorylation|GO:0048015 - phosphatidylinositol-mediated signaling:GO:0004674 - protein serine/threonine kinase activity|GO:0005524 - ATP binding:GO:0004618 - phosphoglycerate kinase activity|GO:0006096 - glycolytic process::GO:0016301 - kinase activity|GO:0046474 - glycerophospholipid biosynthetic process:GO:0016301 - kinase activity|GO:0046474 - glycerophospholipid biosynthetic process:	0	0	0	0	0	0	1	0	2	0	0	0	14	0	0	0	20	2	2	0	0	0	8	0	18	0	0	0	23	7	0	0	11	0	0	0	22	1	2	0	0	0	15	0	21	0	0	0	26	8	0	0	1	0	0	0	1	0	0	1	0	1
62952	4200000	4250000	6783701	62952-4200000:4250000	g1883:g1884	SHC SH2 domain-binding protein 1:Uncharacterized protein	:	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	9	0	10	0	0	0	12	0	41	1	0	0	52	10	0	0	0	0	0	0	11	0	12	0	1	0	31	1	46	8	0	0	64	15	0	0	1	0	0	0	0	0	0	1	0	0
62922	2550000	2600000	6130374	62922-2550000:2600000	g17461:g17462:g17462:g17462:g17462:g17463:g17464:g17464:g17464:g17466:g17468:g17469:g17470:g17471:g17472:g17473:g17473:g17474:g17475:g17476:g17477	Actin-interacting protein 1:Uncharacterized protein:Protein bric-a-brac 2:Protein bric-a-brac 2:Protein bric-a-brac 2:Thiamine transporter 2:WD repeat SAM and U-box domain-containing protein 1:WD repeat SAM and U-box domain-containing protein 1:WD repeat SAM and U-box domain-containing protein 1:GATA zinc finger domain-containing protein 1:AP-3 complex subunit sigma-2:A0A195B2K5 Hexosyltransferase OS=Atta colombica OX=520822 GN=ALC53_10757 PE=3 SV=1:G patch domain-containing protein 4:Odorant receptor 46a isoform A:Odorant receptor 46a isoform A:Uncharacterized protein:A0A151X987 Odorant receptor OS=Trachymyrmex zeteki OX=64791 GN=ALC60_04141 PE=3 SV=1:Odorant receptor 46a isoform A:Adenosine deaminase CECR1:Odorant receptor 46a isoform B:Uncharacterized protein	:GO:0003676 - nucleic acid binding:GO:0003676 - nucleic acid binding:GO:0003676 - nucleic acid binding:GO:0003676 - nucleic acid binding:GO:0016021 - integral component of membrane|GO:0090482 - vitamin transmembrane transporter activity:GO:0004842 - ubiquitin-protein transferase activity:GO:0004842 - ubiquitin-protein transferase activity:GO:0004842 - ubiquitin-protein transferase activity:GO:0006355 - regulation of transcription DNA-templated|GO:0008270 - zinc ion binding|GO:0043565 - sequence-specific DNA binding:GO:0006886 - intracellular protein transport|GO:0016192 - vesicle-mediated transport|GO:0030117 - membrane coat:GO:0000139 - Golgi membrane|GO:0006486 - protein glycosylation|GO:0008378 - galactosyltransferase activity|GO:0016021 - integral component of membrane:GO:0003676 - nucleic acid binding:GO:0004984 - olfactory receptor activity|GO:0005549 - odorant binding|GO:0007165 - signal transduction|GO:0016021 - integral component of membrane:GO:0004984 - olfactory receptor activity|GO:0005549 - odorant binding|GO:0007165 - signal transduction|GO:0016021 - integral component of membrane:GO:0004984 - olfactory receptor activity|GO:0005549 - odorant binding|GO:0007165 - signal transduction|GO:0016021 - integral component of membrane:GO:0004984 - olfactory receptor activity|GO:0005549 - odorant binding|GO:0005886 - plasma membrane|GO:0007165 - signal transduction|GO:0016021 - integral component of membrane:GO:0004984 - olfactory receptor activity|GO:0005549 - odorant binding|GO:0007165 - signal transduction|GO:0016021 - integral component of membrane:GO:0004000 - adenosine deaminase activity|GO:0005615 - extracellular space|GO:0006154 - adenosine catabolic process:GO:0004984 - olfactory receptor activity|GO:0005549 - odorant binding|GO:0007165 - signal transduction|GO:0016021 - integral component of membrane:GO:0004000 - adenosine deaminase activity|GO:0005615 - extracellular space|GO:0006154 - adenosine catabolic process	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	13	2	0	0	13	0	0	0	9	0	2	0	0	0	0	0	1	0	0	0	10	2	0	0	8	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	0
63103	2550000	2600000	4416646	63103-2550000:2600000	g22903	Glutamate receptor ionotropic kainate 2	GO:0004970 - ionotropic glutamate receptor activity|GO:0016021 - integral component of membrane|GO:0030054 - cell junction|GO:0045211 - postsynaptic membrane	0	0	0	0	0	0	5	1	0	0	6	0	9	0	0	0	4	0	9	0	5	0	0	0	14	10	6	0	3	0	6	0	15	3	1	0	4	1	7	0	5	1	1	0	17	8	7	0	6	1	0	0	1	0	1	0	1	1	0	1	1	0
62919	850000	900000	4242905	62919-850000:900000	g12502:g12503	Ecdysteroid UDP-glucosyltransferase:Myrosinase 1	GO:0016021 - integral component of membrane|GO:0016758 - transferase activity transferring hexosyl groups:GO:0004553 - hydrolase activity hydrolyzing O-glycosyl compounds|GO:0005975 - carbohydrate metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	4	0	0	0	7	0	5	0	0	0	5	0	0	0	7	0	0	0	3	0	7	0	0	0	6	0	6	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	1
62869	1300000	1350000	2544402	62869-1300000:1350000	g5250:g5251:g5252:g5253:g5253:g5253:g5254	Uncharacterized protein:TNF receptor-associated factor 4:A0A151I7X8 DNA replication complex GINS protein PSF2 OS=Cyphomyrmex costatus OX=456900 GN=ALC62_15163 PE=3 SV=1:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein	GO:0016021 - integral component of membrane:GO:0003676 - nucleic acid binding|GO:0007165 - signal transduction|GO:0008270 - zinc ion binding|GO:0042981 - regulation of apoptotic process:GO:0005634 - nucleus|GO:0006260 - DNA replication:GO:0050290 - sphingomyelin phosphodiesterase D activity:GO:0050290 - sphingomyelin phosphodiesterase D activity:GO:0050290 - sphingomyelin phosphodiesterase D activity:GO:0050290 - sphingomyelin phosphodiesterase D activity	0	0	0	0	1	0	0	0	1	1	0	0	15	0	0	0	19	0	11	0	0	0	11	1	17	1	0	0	21	1	0	0	18	0	0	0	15	0	12	1	0	0	13	0	23	1	0	0	25	1	0	0	1	0	0	0	1	0	0	1	0	1
62812	2150000	2200000	2217360	62812-2150000:2200000	g25978:g25979:g25981:g25982:g25983:g25984:g25985:g25986	Uncharacterized protein:Chitotriosidase-1:Putative RNA-binding protein 19:A0A151JNM4 Proteasome subunit alpha type OS=Trachymyrmex cornetzi OX=471704 GN=ALC57_02673 PE=3 SV=1:E9J1R9 Small nuclear ribonucleoprotein Sm D2 (Fragment) OS=Solenopsis invicta OX=13686 GN=SINV_00701 PE=3 SV=1:Uncharacterized protein:Tetratricopeptide repeat family protein:Tetratricopeptide repeat family protein	GO:0004553 - hydrolase activity hydrolyzing O-glycosyl compounds|GO:0005576 - extracellular region|GO:0005975 - carbohydrate metabolic process|GO:0006030 - chitin metabolic process|GO:0008061 - chitin binding:GO:0004553 - hydrolase activity hydrolyzing O-glycosyl compounds|GO:0005576 - extracellular region|GO:0005975 - carbohydrate metabolic process|GO:0006030 - chitin metabolic process|GO:0008061 - chitin binding:GO:0003723 - RNA binding:GO:0004298 - threonine-type endopeptidase activity|GO:0005634 - nucleus|GO:0005737 - cytoplasm|GO:0006511 - ubiquitin-dependent protein catabolic process|GO:0019773 - proteasome core complex alpha-subunit complex:GO:0000387 - spliceosomal snRNP assembly|GO:0005685 - U1 snRNP:::	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
62662	300000	350000	1161936	62662-300000:350000	g14373	Uncharacterized protein	GO:0004190 - aspartic-type endopeptidase activity	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	1	0	0	0	1	1	21	1	0	0	6	0	0	0	2	0	0	0	1	1	0	0	0	0	1	1	15	0	0	0	2	1	0	0	1	0	0	0	1	0	0	1	0	1
62724	350000	400000	1100245	62724-350000:400000	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	11	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
62734	800000	850000	1016368	62734-800000:850000	g25227:g25227:g25228:g25229:g25229:g25230:g25231:g25232	Uncharacterized protein:Uncharacterized protein:A0A151JYG8 Phospholipid scramblase OS=Trachymyrmex septentrionalis OX=34720 GN=ALC56_04164 PE=3 SV=1:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein:GTP:AMP phosphotransferase mitochondrial:A0A195BSF8 Cysteine protease OS=Atta colombica OX=520822 GN=ALC53_02471 PE=3 SV=1	GO:0003723 - RNA binding|GO:0008190 - eukaryotic initiation factor 4E binding|GO:0045727 - positive regulation of translation:GO:0003723 - RNA binding|GO:0008190 - eukaryotic initiation factor 4E binding|GO:0045727 - positive regulation of translation:::::GO:0004017 - adenylate kinase activity|GO:0005524 - ATP binding|GO:0005739 - mitochondrion:GO:0005737 - cytoplasm|GO:0006914 - autophagy|GO:0008234 - cysteine-type peptidase activity|GO:0015031 - protein transport	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0
62732	50000	100000	764351	62732-50000:100000	g2475	Uncharacterized protein		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
62732	250000	300000	764351	62732-250000:300000	g2478	Uncharacterized protein	GO:0003676 - nucleic acid binding|GO:0008270 - zinc ion binding	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	9	0	0	0	1	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
62732	350000	400000	764351	62732-350000:400000	g2480:g2481:g2482	Reverse transcriptase:Uncharacterized protein:A0A195FAZ1 RuvB-like helicase OS=Trachymyrmex septentrionalis OX=34720 GN=ALC56_07797 PE=3 SV=1	GO:0003964 - RNA-directed DNA polymerase activity::GO:0005524 - ATP binding|GO:0006281 - DNA repair|GO:0006325 - chromatin organization|GO:0031011 - Ino80 complex|GO:0035267 - NuA4 histone acetyltransferase complex|GO:0043141 - 5'-3' DNA helicase activity|GO:0097255 - R2TP complex	0	0	0	0	0	0	7	0	0	0	4	0	3	0	0	0	4	0	19	0	0	0	15	0	37	0	0	0	29	0	4	0	7	0	0	0	4	0	5	0	0	0	8	0	28	0	0	0	19	0	0	0	1	0	0	0	1	0	0	1	0	1
62732	650000	700000	764351	62732-650000:700000	g2493:g2494:g2496:g2497:g2498	Retrovirus-related gag-pol polyprotein:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein:Uncharacterized protein	GO:0000943 - retrotransposon nucleocapsid|GO:0003676 - nucleic acid binding|GO:0008270 - zinc ion binding|GO:0015074 - DNA integration:::GO:0003676 - nucleic acid binding|GO:0015074 - DNA integration:	1	0	0	0	1	0	4	0	0	0	0	0	3	0	0	0	8	0	12	0	0	0	16	0	18	0	0	0	25	0	0	0	8	0	0	0	12	0	15	1	0	0	15	5	21	4	0	0	24	6	0	0	1	0	0	0	1	0	0	1	0	1
62638	350000	400000	665335	62638-350000:400000	g3214:g3219	Neuroligin-4 X-linked:Fanconi anemia group M protein	GO:0016021 - integral component of membrane:GO:0003677 - DNA binding|GO:0005524 - ATP binding|GO:0006281 - DNA repair|GO:0043140 - 3'-5' DNA helicase activity	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	11	0	0	0	1	0	0	0	1	0	0	1	0	1
62638	550000	600000	665335	62638-550000:600000	g3225	Uncharacterized protein	GO:0016021 - integral component of membrane	0	0	0	0	4	0	1	0	0	0	0	0	19	0	0	0	36	3	1	0	4	0	1	0	5	1	0	0	4	4	0	0	27	0	0	0	38	3	2	0	5	0	4	0	6	3	0	0	7	4	0	0	1	0	0	0	1	0	0	1	0	1
62462	350000	400000	486691	62462-350000:400000	g3129:g3130	Zinc finger mym-type protein 1-like protein:Uncharacterized protein	:GO:0000943 - retrotransposon nucleocapsid|GO:0003676 - nucleic acid binding|GO:0015074 - DNA integration	0	0	1	0	0	0	1	0	1	0	0	0	17	0	0	0	7	0	19	0	0	0	7	0	19	0	9	0	3	0	0	0	14	2	0	0	4	0	17	2	0	0	4	0	18	1	16	4	4	0	0	0	1	0	0	0	1	0	0	1	0	1
62246	300000	350000	354364	62246-300000:350000	NA	NA	NA	2	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	3	2	0	0	0	0	4	1	2	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
62955	200000	250000	8800861	62955-200000:250000	g5663	Alpha-13-mannosyltransferase ALG2	GO:0004378 - GDP-Man:Man1GlcNAc2-PP-Dol alpha-13-mannosyltransferase activity|GO:0006486 - protein glycosylation	0	0	3	0	0	0	0	0	1	2	3	1	6	0	0	0	0	0	8	3	1	0	3	2	3	2	6	0	0	0	4	1	2	2	0	0	1	0	5	4	1	0	5	4	2	2	4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1
62922	2350000	2400000	6130374	62922-2350000:2400000	g17451:g17452:g17453:g17454	Tetratricopeptide repeat protein 4:Uncharacterized protein:F4WQJ8 Eukaryotic translation initiation factor 3 subunit A OS=Acromyrmex echinatior OX=103372 GN=G5I_08043 PE=3 SV=1:Uncharacterized protein	:GO:0016021 - integral component of membrane:GO:0001732 - formation of cytoplasmic translation initiation complex|GO:0003743 - translation initiation factor activity|GO:0005852 - eukaryotic translation initiation factor 3 complex|GO:0016282 - eukaryotic 43S preinitiation complex|GO:0033290 - eukaryotic 48S preinitiation complex:	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1
62917	4500000	4550000	5281140	62917-4500000:4550000	g671:g672:g672:g673:g674	A0A151IL65 Serine/threonine-protein phosphatase OS=Cyphomyrmex costatus OX=456900 GN=ALC62_03585 PE=3 SV=1:Uncharacterized protein:Dynamin:Uncharacterized protein:1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	GO:0004721 - phosphoprotein phosphatase activity:GO:0003924 - GTPase activity|GO:0005525 - GTP binding|GO:0072583 - clathrin-dependent endocytosis:GO:0003924 - GTPase activity|GO:0005525 - GTP binding|GO:0072583 - clathrin-dependent endocytosis:GO:0035556 - intracellular signal transduction:GO:0016021 - integral component of membrane|GO:0016746 - transferase activity transferring acyl groups	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	5	1	6	0	0	0	6	4	0	0	0	0	4	0	0	0	4	0	0	0	5	2	5	0	0	0	5	3	1	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	1
62919	4000000	4050000	4242905	62919-4000000:4050000	g12783:g12784:g12785	Uncharacterized protein:Serine/threonine-protein kinase TAO1:Protein NipSnap	GO:0006904 - vesicle docking involved in exocytosis:GO:0004672 - protein kinase activity|GO:0005524 - ATP binding:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1
62716	550000	600000	1219120	62716-550000:600000	g8396:g8397	Uncharacterized protein:Uncharacterized protein	GO:0003676 - nucleic acid binding|GO:0015074 - DNA integration:GO:0003676 - nucleic acid binding|GO:0015074 - DNA integration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1
62662	0	50000	1161936	62662-0:50000	g14369:g14370	Uncharacterized protein:Reverse transcriptase	:GO:0003964 - RNA-directed DNA polymerase activity	0	0	0	0	6	0	1	0	3	2	2	0	13	0	1	0	14	3	6	0	0	0	10	2	0	0	0	0	3	0	0	0	9	1	2	0	7	3	6	0	0	0	3	3	4	0	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	1
